video_id,Title,channel_name,video_category,video_duration_secs,is_sponsored
VhI2EpAIcm4,$10 Cheesesteak Vs. $120 Cheesesteak,BuzzFeedVideo,22,478,FALSE
MsCye16rIgw,171221 Yunho's TVXQ screamed Jonghyun's name in the middle of concert,MonkeyD,22,1057,FALSE
IuPABtlr-rM,5 awkward moments at the Facebook hearing,Washington Post,25,416,FALSE
u0PR11BKrTI,5 Scary Things Caught on Camera In the Woods,Nuke's Top 5,24,105,FALSE
q2zRmgjry5w,"A Used Fiat 500 Abarth Is the Most Fun You Can Have For $9,000",Doug DeMuro,2,181,FALSE
DTaFgkbz9GM,"ADMU vs. DLSU | Finals Game 3 Highlights | UAAP 80 Men's Basketball | December 03, 2017",ABS-CBN Sports And Action,17,946,FALSE
ibVWKiwIOIM,All-New Mitsubishi Outlander PHEV Review,Motormouth Canada,2,1097,FALSE
7aZj_XeqozA,Am I a better chef than Gordon Ramsay? Ft. Gordon Ramsay | Madelaine Petsch,Madelaine Petsch,22,657,FALSE
z_M_2yBf824,ASMR Magnetic Zen Garden,ASMR Darling,24,543,FALSE
8mmEWomoev8,Attack Of The Killer Crock-Pots!,The Late Show with Stephen Colbert,24,108,FALSE
71o8g30pru0,AUX BATTLES: BEST SONGS OF 2018 **CARPOOL KARAOKE CHALLENGE**,MoreWolfie,23,1055,FALSE
L9ktrJDfa7s,AVENGERS Cast Can't Stop their SPOILERS! |  INFINITY WAR 2018,justdenise,22,228,FALSE
VgWBX3vIHaw,BEST FANMAIL OPENING SURPRISE EVER!!,Tanner Braungardt,22,952,FALSE
ACv0gcIczQw,BEST MEMES COMPILATION V2,freememeskids,24,111,FALSE
44fjX-rgJ7s,Binging with Babish: Cannoli from The Godfather,Binging with Babish,24,997,FALSE
svDYnfQxWM8,Binibining Pilipinas 2018 - Crowning Moments,seng12900 .beautypageant,24,120,FALSE
dkH-Nu23KEo,BOLTR: Dremel Saw Max | MORE NOISE! MORE DUST!,AvE,28,297,FALSE
S9KxqRUcnCU,Boomerang Trick Shots | Dude Perfect,Dude Perfect,17,496,FALSE
FQC29joihwU,Bruce Lee Lightsabers Scene Recreation,Patrick Nan,1,974,FALSE
A1q_lYMG4fo,"Bruno Mars, Ed Sheeran, Charlie Puth Greatest Hits Playlist - Best Pop Collection Songs 2018",Cover Music,22,267,FALSE
8zSRkr1nQNw,Cardi B - Be Careful [Official Video],Cardi B,10,967,FALSE
zI8wC1-qDOo,Cassow - Muddy (Official Video),CassowGOTY,10,724,FALSE
JANApS0P4z8,Casually Explained: Levels of Wealth,Casually Explained,23,485,FALSE
dqDc8vLnxM4,DeMar DeRozan Smacks The Shit Out Of LeBron Jamesï¼,3Feels,22,357,FALSE
SM1w9PEQOE8,Demi Lovato - Tell Me You Love Me,DemiLovatoVEVO,10,227,FALSE
vdFZdgfgmUo,Demolition Drag Racing My LIMO... IT SURVIVED! (Cleetus and Cars 2018),Cleetus McFarland,1,569,FALSE
v3lTWi_Ncxs,Diverging a New Let's Play,chuggaaconroy,20,656,FALSE
UNdd_MotqrI,"Donald J. Trump's Guide to U.S. Presidents, Vol. 1",Late Night with Seth Meyers,23,26,FALSE
C4OMOuLEsuM,Dual Forms vs Sculpted Acrylic Nails,Nail Career Education,26,911,FALSE
2riPWoeN-ZY,Dubious Explanations Follow Revelation Of Payments To Michael Cohen | Rachel Maddow | MSNBC,MSNBC,25,620,FALSE
CFatEWNx5RQ,Eggs Part II | Basics with Babish,Binging with Babish,24,1093,TRUE
y8lFgF_IjPw,Eighth Grade | Official Trailer HD | A24,A24,1,736,FALSE
zDaUwkfoH_g,Et tout le monde s'en fout #SPÃ‰CIAL SAMU SOCIAL - Les femmes sans-abri -,Et tout le monde s'en fout,26,1073,FALSE
QXId3UwOyEc,Extraits de l'appel logeÌ au 911 par Alexandre Bissonnette,"Le Soleil, le quotidien de QuÃ©bec",25,601,FALSE
